Number	Address	CrimeType	Date	Time
16-OPD-1834	701 MELISSA DR	Burglary - Purpose To Commit Crime	10/24/16	6:06:00PM
16-OPD-1835	431 CHURCHILL TRAIL	Telephone Harassment	10/23/16	7:48:00PM
16-OPD-1836	411 WELLS MILL DR	Theft - 23H	10/24/16	8:05:00PM
16-OPD-1837	11 S POPLAR ST	WARRANT ASSIST / ARREST	10/24/16	11:30:00PM
16-OPD-1840	5720 COLLEGE CORNER PIKE	Theft -Deception	10/25/16	6:12:00PM
16-OPD-1843	5279 COLLEGE CORNER PIKE	WARRANT ASSIST / ARREST	10/26/16	9:00:00AM
16-OPD-1844	400 Block E. Sycamore St.	Criminal Damaging/Endangering - Knowingly Any Means	10/26/16	4:20:00PM
16-OPD-1845	215 FOXFIRE DR.	Theft -Deception	10/26/16	4:57:00PM
16-OPD-1846	W CHESTNUT ST // KEHR RD	Obstructing Official Business	10/27/16	8:52:00AM
16-OPD-1847	200 S CAMPUS AV	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	10/24/16	12:45:00PM
16-OPD-1848	719 DANIEL DR	Telephone Harassment - fail to desist	10/27/16	11:29:00AM
16-OPD-1850	616 S COLLEGE AV	Theft - 23H	10/27/16	10:06:00PM
16-OPD-1852	East High Street /  Cook Field	OBSTRUCTING OFFICIAL BUSINESS	10/28/16	12:41:00AM
16-OPD-1856	7 E CENTRAL AV	unspecified	10/28/16	1:08:00PM
16-OPD-1859	415 E Withrow	OPD - 529.02E - Underage Person; Possession/Consumption	10/28/16	10:56:00PM
16-OPD-1860	16 S CAMPUS AV	Sale of Liquor to Underage Person - underage consume beer in	10/28/16	10:49:00PM
16-OPD-1865	17 N POPLAR ST	OPD - 529.02E - Underage Person; Possession/Consumption	10/29/16	12:14:00AM
16-OPD-1866	O Block North Poplar Street	Sale of Liquor to Underage Person - underage consume beer in	10/29/16	12:06:00AM
16-OPD-1868	205 E VINE ST	OPD - 541.04A1 - Criminal Mischief;Damage	10/29/16	12:16:00PM
16-OPD-1869	792 DUFOUR LN	ABANDONING ANIMALS	10/28/16	5:31:00PM
16-OPD-1870	36 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	10/29/16	2:40:00PM
16-OPD-1871	115 N COLLEGE AV	CRIMINAL DAMAGING OR ENDANGERING	10/29/16	4:05:00PM
16-OPD-1872	214 W CHURCH ST	Theft - 23H	10/29/16	5:00:00PM
16-OPD-1873	103 W SPRING ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	10/29/16	6:13:00PM
16-OPD-1877	417 E WITHROW ST	OPD - 529.02E - Underage Person; Possession/Consumption	10/29/16	11:42:00PM
16-OPD-1878	417 E WITHROW ST	OPD - 529.02E - Underage Person; Possession/Consumption	10/29/16	11:42:00PM
16-OPD-1880	17 N POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	10/30/16	1:00:00AM
16-OPD-1881	300 TALLAWANDA RD	Theft -Deception	10/30/16	1:35:00AM
16-OPD-1882	36 E HIGH ST	CERTAIN ACTS PROHIBTED	10/30/16	2:21:00AM
16-OPD-1883	119 E HIGH ST	Disorderly Conduct - intoxicated create risk of harm	10/30/16	2:34:00AM
16-OPD-1884	115 N BEECH ST	DC-CONDUCT THAT PRESENTS A RISK OF PHYSICAL HARM	10/30/16	3:34:00AM
16-OPD-1886	28 1/2 W HIGH ST	unspecified	10/30/16	3:43:00AM
16-OPD-1887	23 E. High St.	Aggravated Assault	10/30/16	3:52:00AM
16-OPD-1888	S. Poplar St.	"Robbery - Force, Threat Of Force"	10/30/16	3:56:00AM
16-OPD-1889	119 S. Poplar St.	OPD - 529.02E - Underage Person; Possession/Consumption	10/30/16	5:19:00AM
16-OPD-1893	OXFORD LIBRARY // LOCUST	Juvenile - Unruly	10/30/16	10:37:00AM
16-OPD-1895	25 E HIGH ST	unspecified	10/30/16	4:08:00PM
16-OPD-1898	23 E HIGH ST	Open Liquor Container - public place	10/29/16	1:10:00AM
16-OPD-1900	11 E WALNUT ST	OPD - 541.04A1 - Criminal Mischief;Damage	10/31/16	10:20:00AM
16-OPD-1902	5265 COLLEGE CORNER PIKE	Theft - 23G	10/31/16	12:12:00PM
16-OPD-1903	200 S MAIN ST	Possession of Drugs_marijuana	10/29/16	12:22:00AM
16-OPD-1909	36 LYNN ST	Menacing	10/31/16	8:27:00PM
16-OPD-1910	15 S. COLLEGE AV	Obstructing Official Business	11/1/16	1:03:00AM
16-OPD-1912	5402 COLLEGE CORNER PIKE	Misuse Of Credit Card	11/1/16	1:34:00PM
16-OPD-1913	117 E COLLINS ST	Criminal Damaging/Endangering	11/2/16	8:18:00AM
16-OPD-1914	223 S COLLEGE AV	Theft -Without Consent	11/2/16	2:29:00PM
16-OPD-1915	TOLLGATE DR // MCGUFFEY AV	Driving While Under the Influence of Alcohol/Drugs	11/3/16	2:00:00AM
16-OPD-1916	130 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	10/29/16	12:00:00AM
16-OPD-1917	5170 BROWN RD	Theft - 23H	11/3/16	10:04:00AM
16-OPD-1918	306 HEATHER LN	unspecified	11/3/16	10:55:00AM
16-OPD-1919	5201 COLLEGE CORNER PIKE	Burglary	11/3/16	11:51:00AM
16-OPD-1920	514 S MAIN ST	Theft - 23D	11/3/16	2:11:00PM
16-OPD-1921	5720 COLLEGE CORNER PIKE	OPD - 545.05 - Theft (All Other Larceny)	11/3/16	3:40:00PM
16-OPD-1922	5032 COLLEGE CORNER PIKE	Domestic Violence - knowingly cause physical harm	11/3/16	5:01:00PM
16-OPD-1923	616 S COLLEGE AV	Violate protection Order or Consent Agreement	11/3/16	6:36:00PM
16-OPD-1924	400 Block E. Sycamore St.	Criminal Damaging/Endangering - Knowingly Any Means	11/3/16	11:04:00PM
16-OPD-1925	4400-BLK OXFORD MILLVILLE RD	FALSE INFORMATION	11/3/16	10:45:00PM
16-OPD-1926	5032 COLLEGE CORNER PIKE	unspecified	11/4/16	1:45:00AM
16-OPD-1927	11 S POPLAR ST	Theft -Deception	11/4/16	12:02:00PM
16-OPD-1928	6025 FAIRFIELD RD	Sale of Liquor to Underage Person - underage consume beer in	11/4/16	5:38:00PM
16-OPD-1929	18 E WALNUT ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	11/4/16	6:07:00PM
16-OPD-1931	6102 JOSEPH DR	Juvenile - Unruly	11/4/16	7:55:00PM
16-OPD-1933	20 UNIVERSITY AV	Theft - 23G	11/5/16	6:14:00AM
16-OPD-1934	E CHURCH ST // N MAIN ST	Criminal Damaging/Endangering	11/5/16	2:28:00PM
16-OPD-1935	11 W CHURCH ST	Assault	11/5/16	3:46:00PM
16-OPD-1937	130 E HIGH ST	Criminal Damaging/Endangering - Knowingly Any Means	11/5/16	7:25:00PM
16-OPD-1938	11 S POPLAR ST	unspecified	11/5/16	7:47:00PM
16-OPD-1940	305 S LOCUST ST	Theft -23B	11/5/16	11:17:00PM
16-OPD-1941	15 E. High St.	OPD - 529.02E - Underage Person; Possession/Consumption	11/5/16	11:17:00PM
16-OPD-1942	S POPLAR ST // E WALNUT ST	OPD - 541.04A1 - Criminal Mischief;Damage	11/5/16	11:26:00PM
16-OPD-1943	8 MIAMI COMMONS	OPD - 541.04A1 - Criminal Mischief;Damage	11/6/16	12:08:00AM
16-OPD-1944	N MAIN ST // CHURCH ST	OPD - 529.02E - Underage Person; Possession/Consumption	11/6/16	12:30:00AM
16-OPD-1945	6025 FAIRFIELD RD	OPD - 529.02E - Underage Person; Possession/Consumption / OP	11/6/16	1:36:00AM
16-OPD-1947	0-BLK S CAMPUS AV	OPD - 529.02E - Underage Person; Possession/Consumption	11/6/16	2:34:00AM
16-OPD-1948	36 E HIGH ST	Felonious Assault	11/6/16	1:34:00AM
16-OPD-1949	309 S MAIN ST	unspecified	11/5/16	9:34:00PM
16-OPD-1950	23 E COLLINS ST	OPD - 545.05 - Theft (from Motor Vehicle) / OPD-  Theft (fro	11/6/16	9:29:00AM
16-OPD-1951	416 N CAMPUS AV	OPD - 541.04A1 - Criminal Mischief;Damage	11/6/16	9:50:00AM
16-OPD-1952	316 E VINE ST	OPD - 541.04A1 - Criminal Mischief;Damage	11/6/16	12:44:00PM
16-OPD-1954	5262 BROWN RD	Theft - 23F	11/6/16	4:17:00PM
16-OPD-1955	115 N COLLEGE AV	OPD - 545.05 - Theft (Theft from Building)	11/6/16	4:23:00PM
16-OPD-1956	200 E HIGH ST	Criminal Damaging/Endangering - Knowingly Any Means	11/6/16	9:01:00PM
16-OPD-1957	431 CHURCHILL TRAIL	Burglary	11/7/16	1:00:00AM
16-OPD-1959	5144 COLLEGE CORNER PIKE	Theft - 23F	11/7/16	1:13:00PM
16-OPD-1960	205 E VINE ST	OPD - 541.04A1 - Criminal Mischief;Damage	11/7/16	1:20:00PM
16-OPD-1961	17 N POPLAR ST	Theft - 23H	11/7/16	1:53:00PM
16-OPD-1963	321 N ELM ST	Theft - 23F	11/8/16	3:55:00PM
16-OPD-1964	117 E COLLINS ST	Theft - 23G	11/8/16	4:17:00PM
16-OPD-1969	804 OXFORD COMMONS	Theft -Deception	11/9/16	4:42:00PM
16-OPD-1971	HESTER RD // COLLEGE CORNER PIKE	FAILURE OF PERSON SUMMONED TO APPEAR	11/9/16	11:13:00PM
16-OPD-1976	3 W CENTRAL AV	Theft - 23F	11/10/16	11:35:00PM
16-OPD-1980	322 E WITHROW ST	Sale of Liquor to Underage Person - underage consume beer in	11/11/16	2:30:00AM
16-OPD-1982	18 E WALNUT ST	OPD - 541.04A1 - Criminal Mischief;Damage	11/11/16	9:54:00AM
16-OPD-1983	63 SCARLET OAK CR	Theft - 23D	11/11/16	11:37:00AM
16-OPD-1988	5285 COLLEGE CORNER PIKE	Gross Sexual Imposition - Force	11/11/16	6:11:00PM
16-OPD-1990	11 S MAIN ST	Disorderly Conduct - intoxicated create risk of harm	11/11/16	10:20:00PM
16-OPD-1992	1 W HIGH ST	DISORDERLY CONDUCT	11/12/16	1:21:00AM
16-OPD-1993	2 S. Campus Avenue	Criminal Trespass - Land Premises Of Another	11/12/16	1:19:00AM
16-OPD-1994	400 S LOCUST ST	OPD - 529.02E - Underage Person; Possession/Consumption / OP	11/12/16	2:19:00AM
16-OPD-1995	31 E HIGH ST	OVI - ANY CHEMICAL	11/12/16	2:28:00AM
16-OPD-1996	E WITHROW ST // TALLAWANDA RD	Possession of Drugs	11/12/16	2:50:00AM
16-OPD-1997	E SPRING ST // CAMPUS AV	OVI - ANY CHEMICAL	11/12/16	3:20:00AM
16-OPD-1999	17 W VINE ST	unspecified	11/12/16	12:44:00PM
16-OPD-2000	5032 COLLEGE CORNER PIKE	Theft - 23H	11/12/16	2:44:00PM
16-OPD-2004	15 1/2 N POPLAR ST	ASSAULT	11/12/16	8:26:00PM
16-OPD-2005	15 W HIGH ST	Theft -Without Consent	11/12/16	8:58:00PM
16-OPD-2006	19 W COLLINS ST	Domestic Violence - recklessly cause serious physical harm	11/12/16	9:23:00PM
16-OPD-2007	10 North Beech Street	unspecified	11/12/16	10:53:00PM
16-OPD-2008	121 E. High St.	OPD - 541.04A1 - Criminal Mischief;Damage	11/12/16	11:51:00PM
16-OPD-2009	425 BROOKVIEW CT	Driving While Under the Influence of Alcohol/Drugs	11/13/16	1:14:00AM
16-OPD-2010	315 S POPLAR ST	Burglary - Purpose To Commit Theft Offense Or Felony	11/13/16	3:46:00AM
16-OPD-2011	17 E HIGH ST	PROHIBITED ACTS	11/13/16	2:21:00AM
16-OPD-2014	101 W. High St.	Theft	11/13/16	10:33:00AM
16-OPD-2015	5720 COLLEGE CORNER PIKE	Theft - 23C	11/20/16	12:00:00AM
16-OPD-2016	115 ARDMORE DR	Criminal Damaging/Endangering	11/13/16	3:40:00PM
16-OPD-2017	325 E SYCAMORE ST	OPD - 541.04A1 - Criminal Mischief;Damage	11/13/16	3:32:00PM
16-OPD-2019	11 S POPLAR ST	IDENTITY FRAUD	11/14/16	2:00:00PM
16-OPD-2023	712 MARCIA DR	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	11/14/16	5:44:00PM
16-OPD-2024	5720 COLLEGE CORNER PIKE	Theft - 23C	11/14/16	8:29:00PM
16-OPD-2025	902 ARROWHEAD DR	Domestic Violence - knowingly cause physical harm	11/15/16	12:36:00PM
16-OPD-2026	5055 COLLEGE CORNER PIKE	Theft -Without Consent	11/15/16	4:33:00PM
16-OPD-2027	5201 COLLEGE CORNER PIKE	Theft -Without Consent	11/15/16	5:49:00PM
16-OPD-2033	215 N BEECH ST	Criminal Mischief	11/16/16	3:31:00PM
16-OPD-2034	3770 SOUTHPOINTE PKWY	"Telephone Harassment - anonymous, harassing, etc"	11/16/16	6:39:00PM
16-OPD-2036	114 E CHURCH ST	Burglary - Purpose To Commit Theft Offense Or Felony	11/17/16	4:34:00PM
16-OPD-2037	519 BROOKVIEW CT	Theft -Without Consent	11/18/16	12:22:00AM
16-OPD-2038	320 S POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	11/18/16	1:21:00AM
16-OPD-2039	17 N POPLAR ST	Theft - 23A	11/18/16	2:40:00AM
16-OPD-2040	111 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	11/18/16	2:20:00AM
16-OPD-2041	119 N CAMPUS AV	Criminal Damaging or Endandering	11/18/16	10:13:00AM
16-OPD-2043	117 E COLLINS ST	Criminal Mischief	11/18/16	3:39:00PM
16-OPD-2046	6727 CONTRERAS RD	Theft of dangerous drug	11/18/16	2:04:00PM
16-OPD-2048	5720 COLLEGE CORNER PIKE	Theft -Without Consent	11/18/16	8:26:00PM
16-OPD-2049	DANA DR // DANIEL DR	OVI - ANY CHEMICAL	11/19/16	12:35:00AM
16-OPD-2050	36 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	11/19/16	2:17:00AM
16-OPD-2052	19 N POPLAR ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	11/19/16	3:50:00PM
16-OPD-2053	109 E COLLINS ST	Burglary - Purpose To Commit Theft Offense Or Felony	11/19/16	4:07:00PM
16-OPD-2054	36 E HIGH ST	Assault	11/19/16	7:55:00PM
16-OPD-2055	5201 COLLEGE CORNER PIKE	Assault - Knowingly Harm Victim	11/19/16	11:42:00PM
16-OPD-2057	13 West High Street	Assault	11/20/16	2:32:00AM
16-OPD-2062	E COLLINS ST // S POPLAR ST	OPD - 541.04A1 - Criminal Mischief;Damage	11/20/16	12:28:00PM
16-OPD-2063	6099 FAIRFIELD RD	Gross Sexual Imposition	11/20/16	12:25:00PM
16-OPD-2064	1023 Arrowhead Dr.	Theft - motor vehicle	11/20/16	5:04:00PM
16-OPD-2066	28 W HIGH ST	OVI - AT OR ABOVE .17% BREATH	11/21/16	12:24:00AM
16-OPD-2067	5182 COLLEGE CORNER PIKE	OPD - 541.04A1 - Criminal Mischief;Damage	11/21/16	10:29:00AM
16-OPD-2070	200 S POPLAR ST	Criminal Mischief	11/21/16	7:26:00PM
16-OPD-2071	6 W Walnut	Criminal Mischief	11/21/16	9:03:00PM
16-OPD-2073	36 E. High St.	Theft -Without Consent	11/22/16	1:57:00AM
16-OPD-2074	24 W SPRING ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	11/22/16	9:22:00AM
16-OPD-2075	5 W HIGH ST	unspecified	11/22/16	9:37:00AM
16-OPD-2076	221 S MAIN ST	OPD - 541.04A1 - Criminal Mischief;Damage	11/22/16	10:38:00AM
16-OPD-2077	108 E SPRING ST	Criminal Damaging/Endangering - Knowingly Any Means	11/22/16	12:38:00PM
16-OPD-2078	216 W HIGH ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	11/22/16	3:04:00PM
16-OPD-2080	321 W CHURCH ST	Criminal Damaging or Endandering	11/22/16	4:05:00PM
16-OPD-2081	513 GLENVIEW DR	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	11/22/16	5:52:00PM
16-OPD-2082	10 UNIVERSITY AV	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	11/22/16	7:47:00PM
16-OPD-2086	10 PARK PL W	Theft -23B	11/24/16	3:04:00AM
16-OPD-2087	5720 COLLEGE CORNER PIKE	Theft - 23C	11/24/16	7:02:00AM
16-OPD-2088	36 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	11/26/16	12:20:00AM
16-OPD-2089	110 N POPLAR ST	unspecified	11/26/16	6:05:00AM
16-OPD-2090	24 W. Spring St.	Burglary - Purpose To Commit Crime	11/26/16	3:55:00PM
16-OPD-2091	215 S BEECH ST	Burglary - Purpose To Commit Theft Offense Or Felony	11/26/16	7:22:00PM
16-OPD-2093	11 N COLLEGE AV	Theft - motor vehicle	11/28/16	5:55:00PM
16-OPD-2094	517 WELLS MILL DR	Burglary - Purpose To Commit Theft Offense Or Felony	11/28/16	5:28:00PM
16-OPD-2097	10 E WALNUT ST	Disorderly Conduct - intoxicated annoy or alarm	11/29/16	12:29:00AM
16-OPD-2098	315 N CAMPUS AV	Theft - 23F	11/29/16	8:06:26AM
16-OPD-2099	17 W COLLINS ST	Theft - 23H	11/29/16	10:29:00AM
16-OPD-2100	318 S MAIN ST	Theft - 23F	11/29/16	12:34:00PM
16-OPD-2101	610 OXFORD COMMONS	Misuse Of Credit Card	11/29/16	1:08:00PM
16-OPD-2104	3713 Southpointe Pkwy	Theft -Without Consent	11/30/16	8:07:19AM
16-OPD-2105	300 S LOCUST ST	Theft - 23H	11/30/16	11:30:40AM
16-OPD-2106	210 N CAMPUS AV	Theft -Without Consent	11/30/16	11:33:00AM
16-OPD-2108	304 E. Church St.	Criminal Damaging/Endangering - Knowingly Any Means	11/30/16	1:03:00PM
16-OPD-2109	134 Northridge Dr. Unit 12	Misuse Of Credit Card - Obtain As Security For Debt	11/30/16	3:57:00PM
16-OPD-2110	260 S LOCUST ST	unspecified	12/27/16	12:00:00AM
16-OPD-2111	102 S ELM ST	Theft - 23H	12/22/16	12:00:00AM
16-OPD-2112	107 E CHURCH ST	Criminal Mischief	12/1/16	9:17:00AM
16-OPD-2113	5720 COLLEGE CORNER PIKE	Theft -Without Consent	12/1/16	9:44:00AM
16-OPD-2116	212 S POPLAR ST	OPD - 545.05 - Theft (from Motor Vehicle) / OPD-  Theft (fro	12/1/16	11:39:00AM
16-OPD-2119	6195 FAIRFIELD RD	Theft - 23H	12/1/16	1:53:00PM
16-OPD-2120	5151 RED CLOUD CT	Domestic Violence - knowingly cause physical harm	12/1/16	6:26:00PM
16-OPD-2121	5032 College Corner Pike	OPD - 545.05 - Theft (All Other Larceny)	12/1/16	11:43:04PM
16-OPD-2123	0 E HIGH ST	OPD - 335.04C - Certain Acts/Id Of Another	12/2/16	2:26:00AM
16-OPD-2124	HOMESTEAD AVE//N CAMPUS AVE	OPD - 529.02E - Underage Person; Possession/Consumption	12/2/16	2:47:00AM
16-OPD-2125	313 S COLLEGE AV	Criminal Simulation	12/2/16	11:09:58AM
16-OPD-2128	1905 OXFORD CMNS	Theft - 23H	12/2/16	4:16:00PM
16-OPD-2129	36 E HIGH ST	Misuse Of Credit Card - Buy Or Sell	12/2/16	6:31:00PM
16-OPD-2130	5720 COLLEGE CORNER PIKE	Theft - dangerous drug	12/2/16	7:25:00PM
16-OPD-2132	E COLLINS ST // S MAIN ST	OPD - 541.04A1 - Criminal Mischief;Damage	12/3/16	12:26:00PM
16-OPD-2133	5032 COLLEGE CORNER PIKE	Theft - motor vehicle	12/3/16	1:24:00PM
16-OPD-2134	606 BRILL DR	Theft - motor vehicle	12/3/16	1:47:00PM
16-OPD-2136	5032 COLLEGE CORNER PIKE	Theft - 23H	12/3/16	6:56:00PM
16-OPD-2139	302 S MAIN ST	Burglary	12/3/16	9:53:00PM
16-OPD-2140	5720 COLLEGE CORNER PIKE	OPD - 545.05 - Theft (Shoplifting)	12/4/16	10:45:00AM
16-OPD-2141	224 E CHURCH ST	OPD - 541.04A1 - Criminal Mischief;Damage	12/4/16	12:44:00PM
16-OPD-2142	560 S MAIN ST	OPD - 545.05 - Theft (Theft from Building)	12/4/16	1:26:00PM
16-OPD-2143	5076 COLLEGE CORNER PIKE	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	12/4/16	7:56:00PM
16-OPD-2144	E SYCAMORE ST // N POPLAR ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	12/4/16	4:02:00AM
16-OPD-2146	5032 COLLEGE CORNER PIKE	Domestic Violence - knowingly cause physical harm	12/5/16	1:35:00AM
16-OPD-2148	11 S POPLAR ST	Burglary - Purpose To Commit Theft Offense Or Felony	12/5/16	2:47:00PM
16-OPD-2149	1 W HIGH ST	Theft - 23H	12/5/16	10:21:09PM
16-OPD-2150	6050 CONTRERAS RD	WARRANT ASSIST / ARREST	12/5/16	10:06:00PM
16-OPD-2151	208 E SYCAMORE ST	Theft - 23F	12/6/16	12:40:32AM
16-OPD-2159	900 TOLLGATE DR	unspecified	12/6/16	6:56:00PM
16-OPD-2161	323 E WITHROW ST	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	12/7/16	12:45:00PM
16-OPD-2163	601 S LOCUST ST	Theft - 23G	12/7/16	6:34:00PM
16-OPD-2164	15 W WALNUT ST	Theft - 23G	12/8/16	5:08:00PM
16-OPD-2165	5201 COLLEGE CORNER PIKE	unspecified	12/8/16	3:06:00PM
16-OPD-2167	200 E HIGH ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	12/8/16	10:36:00PM
16-OPD-2170	11 S POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	12/8/16	11:28:00PM
16-OPD-2171	11 S POPLAR ST	Telephone Harassment	12/9/16	9:56:00AM
16-OPD-2172	5279 COLLEGE CORNER PIKE	unspecified	12/9/16	11:00:00AM
16-OPD-2173	97 ACORN CIR	OPD - 545.10C - Misuse Of Credit Cards	12/9/16	2:35:12PM
16-OPD-2175	322 1/2 W VINE ST	SUICIDAL PERSON	12/9/16	3:42:00PM
16-OPD-2177	118 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	12/10/16	1:10:00AM
16-OPD-2178	416 S MAIN ST	Sale of Liquor to Underage Person - underage consume beer in	12/10/16	2:25:00AM
16-OPD-2180	10 DAY CIRCLE	OVI - ANY CHEMICAL	12/10/16	7:52:00PM
16-OPD-2181	36 E HIGH ST	Sexual Imposition - Offensive Contact	12/11/16	2:05:51AM
16-OPD-2182	5032 COLLEGE CORNER PIKE	WARRANT ASSIST / ARREST	12/11/16	9:30:00AM
16-OPD-2185	210 S BEECH ST	Aggravated Burglary - Armed W/Deadly Weapon/Dangerous Ordnan	12/12/16	8:03:59PM
16-OPD-2187	4030 OXFORD REILY RD	Theft -Without Consent	12/12/16	12:00:00AM
16-OPD-2188	28 W HIGH ST	OPD - 545.05 - Theft (All Other Larceny)	12/12/16	9:45:53PM
16-OPD-2190	115 N COLLEGE AVE	unspecified	12/13/16	1:47:00AM
16-OPD-2191	601 S LOCUST ST	Criminal Simulation	12/13/16	10:38:34AM
16-OPD-2195	601 S LOCUST ST	Forgery	12/14/16	2:57:36AM
16-OPD-2196	5190 COLLEGE CORNER PIKE	Theft - motor vehicle	12/14/16	8:20:00AM
16-OPD-2197	318 S MAIN ST	Theft - 23F	11/28/16	11:10:00AM
16-OPD-2198	4985 COLLEGE CORNER PIKE	OPD - 545.05 - Theft (Shoplifting)	12/14/16	2:24:00PM
16-OPD-2199	5201 COLLEGE CORNER PIKE	Aggravated Burglary - Armed W/Deadly Weapon/Dangerous Ordnan	12/15/16	12:27:35AM
16-OPD-2202	416 UNIVERSITY AVE	Forgery	12/15/16	9:05:00AM
16-OPD-2203	28 W WALNUT ST	unspecified	12/15/16	1:39:00PM
16-OPD-2204	5201 COLLEGE CORNER PIKE	Theft - 23D	12/15/16	5:54:00PM
16-OPD-2208	E HIGH ST	OVI - ANY CHEMICAL	12/16/16	2:19:52AM
16-OPD-2210	12 N POPLAR ST	Theft -Without Consent	12/16/16	5:14:07PM
16-OPD-2213	220 TALLAWANDA RD	Theft - 23F	12/17/16	1:16:00PM
16-OPD-2215	215 N POPLAR ST	OPD - 541.04A1 - Criminal Mischief;Damage	12/17/16	2:55:00PM
16-OPD-2218	214 N CAMPUS AV	Burglary - Purpose To Commit Theft Offense Or Felony	1/31/17	12:00:00AM
16-OPD-2219	320 E VINE ST	Attempt - USE FOR ORC ARREST OFFENSE CODE ONLY	12/18/16	11:04:34AM
16-OPD-2220	20 REAGH`S WY	Burglary - Purpose To Commit Crime	12/18/16	6:32:52PM
16-OPD-2224	City of Oxford	Theft -Without Consent	12/19/16	9:05:00AM
16-OPD-2225	112 N COLLEGE AV	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	12/20/16	4:46:00AM
16-OPD-2226	200 W CHURCH ST	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	12/20/16	7:50:00AM
16-OPD-2227	211 N ELM ST	Burglary - Purpose To Commit Theft Offense Or Felony	12/20/16	9:26:00AM
16-OPD-2228	260 S LOCUST ST	Receiving Stolen Property	12/21/16	1:06:00AM
16-OPD-2230	441 S LOCUST ST	Theft -Without Consent	12/21/16	4:48:00PM
16-OPD-2231	141 JACQUELINE DR	Burglary-trespass in permanent or temporary habitation	12/21/16	8:19:00PM
16-OPD-2232	601 S LOCUST ST	DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL/DRUGS	12/21/16	9:47:00PM
16-OPD-2233	550 S LOCUST ST	Assault	1/15/17	12:00:00AM
16-OPD-2234	12 N. College Ave.	Burglary	12/22/16	11:46:00AM
16-OPD-2235	21 Lynn St.	Telephone Harassment - fail to desist	12/22/16	1:03:00PM
16-OPD-2236	110 N POPLAR ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	12/22/16	9:25:00PM
16-OPD-2239	402 E. Withrow St.	Burglary	12/23/16	3:16:00PM
16-OPD-2241	5720 COLLEGE CORNER PIKE	Criminal Trespass - Restricted Area	12/23/16	6:50:00PM
16-OPD-2242	5301 UNIVERSITY PARK BV	unspecified	12/23/16	9:01:00PM
16-OPD-2244	5720 College Corner Pike	OPD - 545.05 - Theft (Shoplifting)	12/24/16	12:40:00PM
16-OPD-2245	5720 COLLEGE CORNER PIKE	Criminal Trespass	12/24/16	3:29:00PM
16-OPD-2247	716 S COLLEGE AV	Passing Bad Checks	12/28/16	11:16:00AM
16-OPD-2248	300 S LOCUST ST	Theft - 23C	12/28/16	1:26:00PM
16-OPD-2249	3770 SOUTHPOINTE PKWY	unspecified	12/28/16	9:33:00PM
16-OPD-2251	E HIGH ST // S MAIN ST	OVI - ANY CHEMICAL	12/30/16	2:12:00AM
16-OPD-2252	163 HILLTOP RD	unspecified	12/30/16	11:32:00AM
16-OPD-2253	6727 CONTRERAS RD	Assault	12/30/16	4:26:00PM
16-OPD-2254	5720 COLLEGE CORNER PIKE	Theft - 23C	12/30/16	4:45:00PM
16-OPD-2255	522 S LOCUST ST	Possession of Drugs	12/30/16	4:38:00PM
16-OPD-2256	45 E CHURCH ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	12/30/16	6:33:00PM
16-OPD-2257	110 North Poplar Street	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	12/31/16	3:12:00AM
16-OPD-2262	100-BLK E WALNUT ST	OPD - 529.02E - Underage Person; Possession/Consumption	12/31/16	10:23:00PM
16-OPD-2263	210 South Campus Avenue	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	12/31/16	11:28:00PM
